From, to, distance in meters, calcTime, journeysFound, bestPickDeparture,bestPickTime, worstPickDeparture, worstPickTime
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008400219,75256.39,6614,25,201909-18T07:00:00,9360,2019-09-18T07:00:00,9360
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008400280,248395.9,3225,6,201909-18T09:02:00,17640,2019-09-18T17:02:00,17760
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008400424,84093.83,6585,25,201909-18T07:10:00,10020,2019-09-18T07:10:00,10020
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008400426,82255.05,6775,25,201909-18T07:02:00,9780,2019-09-18T07:02:00,9780
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008400526,191425.5,5582,106,201909-18T09:02:00,16920,2019-09-18T09:02:00,16920
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008400530,225557.1,6425,9,201909-18T08:26:00,15840,2019-09-18T08:26:00,15840
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008400561,257460,5470,11,201909-18T10:58:00,17760,2019-09-18T09:58:00,21360
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008500010,308952,1199,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008711184,270974.5,1206,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008718201,247463.5,1297,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008718206,281062,1184,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008718213,303499.1,1195,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008719100,84738.16,1106,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008719203,110487.9,1318,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008721202,211958,1194,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008721222,181992.2,1379,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008721405,231555.1,1290,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008722326,215430,1472,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728600,215685.6,6889,20,201909-18T14:41:00,15840,2019-09-18T14:41:00,23040
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008727100,299330.3,1614,2,201909-18T10:43:00,23880,2019-09-18T10:43:00,23880
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008727149,276764.8,1106,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728105,212330.2,1413,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728606,212623.5,2038,11,201909-18T12:41:00,15420,2019-09-18T09:35:00,18960
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728654,212523.6,5279,15,201909-18T14:33:00,14940,2019-09-18T14:33:00,22140
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728671,210959.5,1365,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728673,210862.2,5484,15,201909-18T14:36:00,15240,2019-09-18T14:36:00,22440
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728683,211274.9,5495,30,201909-18T12:38:00,15240,2019-09-18T13:42:00,26280
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728685,209992,2114,3,201909-18T13:08:00,16980,2019-09-18T13:08:00,16980
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728686,208390.9,5317,30,201909-18T12:32:00,15060,2019-09-18T13:36:00,26100
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728687,202234.1,4925,30,201909-18T08:32:00,14820,2019-09-18T13:34:00,25740
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008728710,211813.1,2018,23,201909-18T12:44:00,15600,2019-09-18T11:43:00,19200
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008731388,235760.5,1232,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008731896,695492.2,1313,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008731901,743045.2,1311,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008772202,494044.1,1200,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008772319,492184.1,1195,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008774100,505929.4,1208,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008774164,495363.2,1297,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008774172,516848.2,1607,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008774176,510115.7,1244,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008774177,508545.8,1200,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008774179,503926.6,1059,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008775100,759589.5,1159,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008775500,777673.2,1320,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008775544,742084,1233,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008775605,719889.9,1198,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008775752,747041.8,1322,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008775762,734365.1,1147,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008775767,731575.3,1275,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008776290,494106.2,1384,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008776302,575397.3,1381,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008777300,742271.2,1204,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008777320,766288,1149,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008777500,710157.4,1227,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008778100,783670.6,1163,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008778110,803829.6,1337,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008778127,780809.2,1498,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008778400,859615.1,1461,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008811007,142297,13295,7,201909-18T07:10:00,10080,2019-09-18T20:05:00,13320
