From, to, distance in meters, calcTime, journeysFound, bestPickDeparture,bestPickTime, worstPickDeparture, worstPickTime
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821444,177709.2,1007,33,2019-09-18T08:14:00,13740,2019-09-18T15:33:00,18480
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821451,176593,911,21,2019-09-18T14:13:00,13740,2019-09-18T09:46:00,19380
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821519,175665.4,998,33,2019-09-18T08:07:00,13560,2019-09-18T15:25:00,18240
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821535,172512.8,1008,33,2019-09-18T08:04:00,13200,2019-09-18T15:22:00,17880
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821543,170565.4,1040,37,2019-09-18T08:02:00,13080,2019-09-18T10:02:00,20280
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821600,151793.6,1205,7,2019-09-18T07:05:00,9960,2019-09-18T19:34:00,11700
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821634,157190.2,988,13,2019-09-18T07:17:00,10560,2019-09-18T07:43:00,12180
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821659,150376,744,8,2019-09-18T13:33:00,11520,2019-09-18T12:53:00,16320
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821667,148949.2,747,8,2019-09-18T13:38:00,11760,2019-09-18T12:58:00,16500
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821709,144532.7,687,7,2019-09-18T07:59:00,12960,2019-09-18T20:00:00,13020
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821717,143930.4,1082,13,2019-09-18T07:32:00,11400,2019-09-18T09:32:00,18600
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821725,145976.6,728,8,2019-09-18T13:42:00,12060,2019-09-18T13:02:00,16860
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821816,146313,821,7,2019-09-18T07:30:00,11280,2019-09-18T07:30:00,11280
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821824,143239.5,826,7,2019-09-18T07:26:00,11040,2019-09-18T07:26:00,11040
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821832,139810.1,924,7,2019-09-18T06:55:00,9240,2019-09-18T19:20:00,10740
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821857,133729.5,706,7,2019-09-18T07:17:00,10440,2019-09-18T07:17:00,10440
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821865,131207.9,656,7,2019-09-18T07:12:00,10260,2019-09-18T07:12:00,10260
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821907,153069.6,952,12,2019-09-18T07:47:00,12480,2019-09-18T09:47:00,19680
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821964,146945.2,950,12,2019-09-18T07:38:00,12000,2019-09-18T09:38:00,19200
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822004,146370.1,1792,7,2019-09-18T07:07:00,9960,2019-09-18T07:07:00,9960
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822053,152394.4,983,12,2019-09-18T07:31:00,11580,2019-09-18T16:15:00,21180
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822111,155523,973,7,2019-09-18T07:22:00,10740,2019-09-18T07:22:00,10740
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822137,159738.4,1028,41,2019-09-18T07:44:00,12120,2019-09-18T11:07:00,24240
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822145,161382.9,1042,41,2019-09-18T07:48:00,12300,2019-09-18T11:04:00,24060
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822160,164283,1080,41,2019-09-18T07:51:00,12480,2019-09-18T11:00:00,23880
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822210,151486.6,1125,22,2019-09-18T07:30:00,11160,2019-09-18T18:30:00,14760
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822228,149682.1,1104,22,2019-09-18T07:25:00,11040,2019-09-18T16:25:00,14640
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822251,144024,1337,15,2019-09-18T07:19:00,10680,2019-09-18T18:05:00,13320
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822269,143370.6,1419,16,2019-09-18T07:24:00,10860,2019-09-18T17:59:00,13140
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822277,143403.8,674,18,2019-09-18T07:23:00,10860,2019-09-18T08:27:00,14760
